StartDate,EndDate,Status,IPAddress,Progress,Duration_sec,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,gender,gender_other,age,race_ethnic,race_other,knows_believes,squirrel_prairie,reason_unreason,knows_believesVAS,reason_unreasonVAS,sona_id,para_condition,scale_condition
4/24/19 12:06,4/24/19 12:09,0,,100,127,1,4/24/19 12:09,R_1MM2k80goABefFA,,,,,,,anonymous,EN,1,Male,,22,White/European,,Believes,Squirrel,Reasonable,,,58709,Gettier Case,Original
4/24/19 16:12,4/24/19 16:16,0,,100,226,1,4/24/19 16:16,R_1OJ4RiJnD20FjSa,,,,,,,anonymous,EN,1,Female,,18,Other,Mixed-Race,,Squirrel,,30,90,60022,Gettier Case,VAS
4/24/19 16:44,4/24/19 16:46,0,,100,95,1,4/24/19 16:46,R_30uBz6mu4DRIjHa,,,,,,,anonymous,EN,1,Female,,19,White/European,,Believes,Prairie Dog,Reasonable,,,59193,Ignorance Case,Original
4/24/19 20:39,4/24/19 20:41,0,,100,121,1,4/24/19 20:41,R_1r94KnhSwiKrJlB,,,,,,,anonymous,EN,1,Female,,19,Latin/Hispanic,,,Squirrel,,20,90,59793,Knowledge Case,VAS
4/25/19 11:15,4/25/19 11:20,0,,100,273,1,4/25/19 11:20,R_xF5LomJtPUAnGRr,,,,,,,anonymous,EN,1,Male,,22,Latin/Hispanic,,,Squirrel,,90,100,59343,Knowledge Case,VAS
4/25/19 15:21,4/25/19 15:22,0,,100,84,1,4/25/19 15:22,R_PMWh1ZUrLTZa4uJ,,,,,,,anonymous,EN,1,Male,,19,White/European,,Believes,Prairie Dog,Reasonable,,,59801,Ignorance Case,Original
4/25/19 23:20,4/25/19 23:21,0,,100,68,1,4/25/19 23:21,R_2qw6IUUrCeoDqso,,,,,,,anonymous,EN,1,Female,,19,White/European,,Knows,Squirrel,Reasonable,,,58778,Gettier Case,Original
4/27/19 13:00,4/27/19 13:02,0,,100,96,1,4/27/19 13:02,R_3g8cPCgIwNgZepu,,,,,,,anonymous,EN,1,Female,,18,White/European,,,Squirrel,,100,100,59427,Knowledge Case,VAS
4/28/19 9:43,4/28/19 9:46,0,,100,188,1,4/28/19 9:46,R_26f13wcnPFiJYi6,,,,,,,anonymous,EN,1,Female,,24,Black/African,,,Prairie Dog,,90,80,58919,Ignorance Case,VAS
4/28/19 11:39,4/28/19 11:41,0,,100,147,1,4/28/19 11:41,R_AicoLuJIuBzYFzj,,,,,,,anonymous,EN,1,Female,,19,White/European,,Knows,Squirrel,Reasonable,,,58818,Gettier Case,Original
4/28/19 15:15,4/28/19 15:16,0,,100,85,1,4/28/19 15:16,R_3KI9qbZ4JaN7LX2,,,,,,,anonymous,EN,1,Female,,20,Asian,,,Squirrel,,100,81,60115,Ignorance Case,VAS
4/28/19 17:40,4/28/19 17:41,0,,100,94,1,4/28/19 17:41,R_yIO8wxylRjOGP1D,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,35,70,59842,Knowledge Case,VAS
4/28/19 18:49,4/28/19 18:52,0,,100,173,1,4/28/19 18:52,R_3r020txpJ6qjfYk,,,,,,,anonymous,EN,1,Male,,18,White/European,,Knows,Squirrel,Reasonable,,,59698,Gettier Case,Original
4/29/19 0:05,4/29/19 0:07,0,,100,112,1,4/29/19 0:07,R_8CvvcAUkbNtP9e1,,,,,,,anonymous,EN,1,Male,,18,White/European,,,Prairie Dog,,0,50,59725,Ignorance Case,VAS
4/29/19 12:10,4/29/19 12:13,0,,100,188,1,4/29/19 12:13,R_siL0TrfxEmotwY1,,,,,,,anonymous,EN,1,Female,,18,White/European,,Knows,Squirrel,Reasonable,,,58763,Gettier Case,Original
4/30/19 12:02,4/30/19 12:03,0,,100,66,1,4/30/19 12:03,R_3ehoCL4obBA8UmV,,,,,,,anonymous,EN,1,Female,,20,White/European,,,Squirrel,,72,60,60218,Knowledge Case,VAS
4/30/19 15:25,4/30/19 15:25,0,,100,31,1,4/30/19 15:25,R_3QXGhMmb815YBJX,,,,,,,anonymous,EN,1,Female,,20,White/European,,,Squirrel,,62,49,59336,Ignorance Case,VAS
4/30/19 16:49,4/30/19 16:53,0,,100,272,1,4/30/19 16:53,R_1pRuOgq0GobPAOV,,,,,,,anonymous,EN,1,Female,,19,White/European,,Believes,Squirrel,Reasonable,,,59280,Gettier Case,Original
5/1/19 10:26,5/1/19 10:29,0,,100,132,1,5/1/19 10:29,R_278cpuj1YWYK18y,,,,,,,anonymous,EN,1,Female,,19,Latin/Hispanic,,Believes,Squirrel,Reasonable,,,60029,Knowledge Case,Original
5/1/19 17:22,5/1/19 17:26,0,,100,231,1,5/1/19 17:26,R_2fiJtGcETPtvuhq,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,30,90,58693,Knowledge Case,VAS
5/3/19 11:26,5/3/19 11:27,0,,100,104,1,5/3/19 11:27,R_3JCUydpO1kvCalX,,,,,,,anonymous,EN,1,Male,,19,White/European,,Knows,Squirrel,Reasonable,,,59457,Gettier Case,Original
5/3/19 12:58,5/3/19 13:03,0,,100,265,1,5/3/19 13:03,R_1FzvRLVYxh62lzm,,,,,,,anonymous,EN,1,Female,,20,White/European,,,Prairie Dog,,100,50,59734,Ignorance Case,VAS
5/3/19 15:44,5/3/19 15:46,0,,100,104,1,5/3/19 15:46,R_2WGAo9gGD8rLaHs,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,42,56,59841,Ignorance Case,VAS
5/4/19 17:59,5/4/19 18:00,0,,100,59,1,5/4/19 18:00,R_qDS1YKviwFYI2S5,,,,,,,anonymous,EN,1,Female,,19,White/European,,Believes,Squirrel,Reasonable,,,59800,Knowledge Case,Original
5/5/19 13:34,5/5/19 13:35,0,,100,42,1,5/5/19 13:35,R_u3TfIhvbYkFqI81,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,58,100,59257,Gettier Case,VAS
5/6/19 14:13,5/6/19 14:14,0,,100,89,1,5/6/19 14:14,R_33jO7rU0NaLG2sC,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,100,100,59392,Gettier Case,VAS
5/6/19 14:51,5/6/19 14:53,0,,100,79,1,5/6/19 14:53,R_ZquHY7fihIhPuzT,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,92,92,59394,Knowledge Case,VAS
5/6/19 16:09,5/6/19 16:12,0,,100,149,1,5/6/19 16:12,R_2ya2jhzWpV7OGLN,,,,,,,anonymous,EN,1,Female,,19,White/European,,,Prairie Dog,,75,40,58800,Ignorance Case,VAS
5/6/19 18:09,5/6/19 18:12,0,,100,173,1,5/6/19 18:12,R_1OPJvTarCzYMYm6,,,,,,,anonymous,EN,1,Male,,19,White/European,,Believes,Prairie Dog,Reasonable,,,59387,Ignorance Case,Original
5/6/19 20:58,5/6/19 21:32,0,,100,2038,1,5/6/19 21:32,R_6ulzZopojp3fgs1,,,,,,,anonymous,EN,,Male,,19,White/European,,,Squirrel,,53,45,58731,Gettier Case,VAS
5/6/19 22:48,5/6/19 22:49,0,,100,67,1,5/6/19 22:49,R_2YLoopPdzeWys0u,,,,,,,anonymous,EN,1,Female,,19,White/European,,Knows,Squirrel,Reasonable,,,59984,Knowledge Case,Original
5/7/19 1:38,5/7/19 1:40,0,,100,77,1,5/7/19 1:40,R_snguUzuY3OHFkSl,,,,,,,anonymous,EN,1,Female,,21,Black/African,,Knows,Squirrel,Reasonable,,,60225,Gettier Case,Original
5/7/19 11:22,5/7/19 11:24,0,,100,77,1,5/7/19 11:24,R_2teYhSKoNrX79Nz,,,,,,,anonymous,EN,1,Female,,19,Latin/Hispanic,,,Squirrel,,100,73,58873,Knowledge Case,VAS
5/7/19 12:05,5/7/19 12:05,0,,100,32,1,5/7/19 12:05,R_3qrL10RMfxAKYQX,,,,,,,anonymous,EN,,Male,,23,Asian,,Knows,Squirrel,Unreasonable,,,60233,Ignorance Case,Original
5/7/19 13:08,5/7/19 13:09,0,,100,91,1,5/7/19 13:09,R_3hikBmCtogaU4D6,,,,,,,anonymous,EN,1,Female,,18,White/European,,Knows,Prairie Dog,Reasonable,,,60127,Ignorance Case,Original
5/7/19 13:44,5/7/19 13:45,0,,100,58,1,5/7/19 13:45,R_25FNFkbTW5zw6rO,,,,,,,anonymous,EN,1,Male,,18,White/European,,Knows,Squirrel,Reasonable,,,58878,Gettier Case,Original
5/7/19 15:51,5/7/19 15:54,0,,100,201,1,5/7/19 15:54,R_38hbyAv754T1NwR,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,50,75,59786,Knowledge Case,VAS
5/7/19 18:19,5/7/19 18:20,0,,100,66,1,5/7/19 18:20,R_1OBMl5ugOnTwUQe,,,,,,,anonymous,EN,,Male,,19,White/European,,Knows,Squirrel,Reasonable,,,58679,Knowledge Case,Original
5/7/19 19:54,5/7/19 19:59,0,,100,299,1,5/7/19 19:59,R_u7BaHEghRzCgDqV,,,,,,,anonymous,EN,1,Male,,19,White/European,,Believes,Prairie Dog,Reasonable,,,60064,Ignorance Case,Original
5/7/19 20:55,5/7/19 21:00,0,,100,285,1,5/7/19 21:00,R_QlVwmDT9HyU6yLD,,,,,,,anonymous,EN,1,Female,,18,Latin/Hispanic,,Believes,Squirrel,Unreasonable,,,59770,Gettier Case,Original
5/7/19 23:02,5/7/19 23:03,0,,100,65,1,5/7/19 23:03,R_2ebA6YliZSGGGAj,,,,,,,anonymous,EN,1,Male,,19,White/European,,Believes,Prairie Dog,Reasonable,,,59299,Ignorance Case,Original
5/8/19 9:25,5/8/19 9:32,0,,100,405,1,5/8/19 9:32,R_1dnuAw14XenYuiW,,,,,,,anonymous,EN,1,Male,,24,White/European,,Believes,Squirrel,Reasonable,,,60310,Gettier Case,Original
5/8/19 10:44,5/8/19 10:45,0,,100,91,1,5/8/19 10:45,R_3CUvKxBN8Z7rnXl,,,,,,,anonymous,EN,1,Female,,21,White/European,,,Squirrel,,54,72,60137,Knowledge Case,VAS
5/8/19 12:03,5/8/19 12:05,0,,100,102,1,5/8/19 12:05,R_1PTcTnRM4Z2nQ6T,,,,,,,anonymous,EN,1,Female,,18,White/European,,Knows,Squirrel,Reasonable,,,59983,Knowledge Case,Original
5/8/19 14:37,5/8/19 14:41,0,,100,222,1,5/8/19 14:41,R_2ZQQz1n9fFBRqwy,,,,,,,anonymous,EN,1,Female,,18,White/European,,,Prairie Dog,,25,100,59436,Ignorance Case,VAS
5/8/19 15:12,5/8/19 15:14,0,,100,120,1,5/8/19 15:14,R_301rXwwqegwNFn5,,,,,,,anonymous,EN,1,Male,,19,Black/African,,Knows,Prairie Dog,Reasonable,,,59710,Gettier Case,Original
5/8/19 16:53,5/8/19 16:56,0,,100,171,1,5/8/19 16:56,R_3NCgD4VAKQuZaB4,,,,,,,anonymous,EN,1,Male,,20,White/European,,Believes,Squirrel,Reasonable,,,59985,Gettier Case,Original
5/8/19 17:28,5/8/19 17:29,0,,100,87,1,5/8/19 17:29,R_7WnRz7zx5RLTUOd,,,,,,,anonymous,EN,1,Female,,19,Latin/Hispanic,,,Squirrel,,82,92,58845,Knowledge Case,VAS
5/8/19 17:55,5/8/19 17:56,0,,100,76,1,5/8/19 17:56,R_1LqCI833N26E56b,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Prairie Dog,,100,50,58722,Ignorance Case,VAS
5/8/19 18:33,5/8/19 18:33,0,,100,43,1,5/8/19 18:33,R_1obSGoYmfxK68YO,,,,,,,anonymous,EN,1,Male,,19,White/European,,Knows,Prairie Dog,Reasonable,,,59433,Ignorance Case,Original
5/8/19 19:15,5/8/19 19:18,0,,100,179,1,5/8/19 19:18,R_3jZ3kRwz0xJE9MZ,,,,,,,anonymous,EN,1,Male,,19,White/European,,Knows,Squirrel,Reasonable,,,59362,Knowledge Case,Original
5/8/19 19:26,5/8/19 19:28,0,,100,146,1,5/8/19 19:28,R_DrcvoObYHsztL0t,,,,,,,anonymous,EN,1,Male,,19,White/European,,Knows,Prairie Dog,Reasonable,,,59339,Gettier Case,Original
5/8/19 19:27,5/8/19 19:29,0,,100,81,1,5/8/19 19:29,R_5Bwpx6z3ONViJEt,,,,,,,anonymous,EN,1,Female,,19,White/European,,,Squirrel,,41,100,59305,Knowledge Case,VAS
5/8/19 19:34,5/8/19 19:37,0,,100,196,1,5/8/19 19:37,R_3QW3rTNdznZC3LU,,,,,,,anonymous,EN,1,Female,,19,Hawaiian/Pacific Islander,,,Prairie Dog,,25,85,59712,Ignorance Case,VAS
5/8/19 20:21,5/8/19 20:24,0,,100,160,1,5/8/19 20:24,R_3h6kL55tD8y2XLx,,,,,,,anonymous,EN,1,Female,,19,White/European,,,Prairie Dog,,52,73,59335,Gettier Case,VAS
5/8/19 20:45,5/8/19 20:48,0,,100,215,1,5/8/19 20:48,R_1IfPgcNgjW4wfvw,,,,,,,anonymous,EN,1,Female,,18,White/European,,Believes,Prairie Dog,Reasonable,,,60278,Ignorance Case,Original
5/8/19 21:13,5/8/19 21:14,0,,100,44,1,5/8/19 21:14,R_3DqCr224YG5iKRk,,,,,,,anonymous,EN,1,Female,,19,White/European,,,Prairie Dog,,67,68,58910,Gettier Case,VAS
5/8/19 21:47,5/8/19 21:48,0,,100,77,1,5/8/19 21:48,R_3I5bRvMEIvNv11b,,,,,,,anonymous,EN,1,Female,,18,White/European,,,Prairie Dog,,51,40,59207,Knowledge Case,VAS
5/8/19 21:49,5/8/19 21:50,0,,100,74,1,5/8/19 21:50,R_3fH6bTdlKJSLS62,,,,,,,anonymous,EN,1,Other,Masc nb ,18,White/European,,Knows,Squirrel,Reasonable,,,59442,Gettier Case,Original
5/8/19 22:50,5/8/19 22:57,0,,100,434,1,5/8/19 22:57,R_2Yu1o0apfSseI5h,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,100,99,60030,Knowledge Case,VAS
5/8/19 23:15,5/8/19 23:16,0,,100,83,1,5/8/19 23:16,R_2U3go4gRu4cI3ur,,,,,,,anonymous,EN,1,Male,,19,White/European,,,Squirrel,,78,50,59304,Ignorance Case,VAS
5/9/19 0:25,5/9/19 0:26,0,,100,57,1,5/9/19 0:26,R_Y4R1xdI5EIEX96x,,,,,,,anonymous,EN,1,Male,,19,White/European,,Believes,Squirrel,Reasonable,,,59262,Gettier Case,Original
5/9/19 0:49,5/9/19 0:50,0,,100,68,1,5/9/19 0:50,R_d6I17Fnmjqosj3X,,,,,,,anonymous,EN,1,Female,,21,Other,,,Squirrel,,31,27,59188,Knowledge Case,VAS
5/9/19 0:57,5/9/19 0:58,0,,100,65,1,5/9/19 0:58,R_3CW8nk22gWL3OC2,,,,,,,anonymous,EN,1,Male,,19,Asian,,,Prairie Dog,,,,59847,Ignorance Case,Original
5/9/19 5:37,5/9/19 5:38,0,,100,93,1,5/9/19 5:38,R_pPFSxIi8XXexxHX,,,,,,,anonymous,EN,1,Male,,19,Asian,,Knows,Squirrel,Reasonable,,,59244,Knowledge Case,Original
5/9/19 8:44,5/9/19 8:46,0,,100,87,1,5/9/19 8:46,R_2YIZjjksALzgPhC,,,,,,,anonymous,EN,1,Male,,18,White/European,,Knows,Squirrel,Reasonable,,,59371,Gettier Case,Original
5/9/19 9:20,5/9/19 9:22,0,,100,116,1,5/9/19 9:22,R_T5Gm0pUEtYsazM5,,,,,,,anonymous,EN,1,Male,,21,White/European,,,Prairie Dog,,71,91,58691,Ignorance Case,VAS
5/9/19 9:31,5/9/19 9:33,0,,100,80,1,5/9/19 9:33,R_ZlujTxFsUBtWHhT,,,,,,,anonymous,EN,1,Female,,19,White/European,,Believes,Prairie Dog,Reasonable,,,58750,Ignorance Case,Original
5/9/19 10:15,5/9/19 10:17,0,,100,113,1,5/9/19 10:17,R_09zscWm3zTVlxaF,,,,,,,anonymous,EN,1,Female,,19,White/European,,Knows,Squirrel,Reasonable,,,58858,Knowledge Case,Original
5/9/19 10:20,5/9/19 10:21,0,,100,77,1,5/9/19 10:21,R_2D6614BNFE3Xeeb,,,,,,,anonymous,EN,1,Male,,19,Other,White and Asain,Believes,Prairie Dog,Reasonable,,,58732,Gettier Case,Original
5/9/19 10:38,5/9/19 10:39,0,,100,36,1,5/9/19 10:39,R_2vYxX76DRazEzFE,,,,,,,anonymous,EN,,Male,,19,White/European,,Believes,Squirrel,Reasonable,,,58694,Gettier Case,Original
5/9/19 10:47,5/9/19 10:48,0,,100,78,1,5/9/19 10:48,R_2pSFGPNB45sdobG,,,,,,,anonymous,EN,1,Male,,31,White/European,,Believes,Prairie Dog,Reasonable,,,58930,Ignorance Case,Original
5/9/19 10:55,5/9/19 10:57,0,,100,95,1,5/9/19 10:57,R_114QJFkLaB6gyue,,,,,,,anonymous,EN,1,Male,,33,White/European,,Believes,Squirrel,Reasonable,,,60245,Knowledge Case,Original